AERO	Aerogrow Intl Inc
AERS	Aerius Cmn Stk
AESEW	Allied Esports Entertainment Inc WT
AESO	Atlantic Energy Sltns Inc
AETUF	Arc Energy Trust Uni
AEXAF	Atos Origin Sa Ord
AEXAY	Atos ADR
AEXE	Aim Exploration Inc
AFBA	Allied First Bncp MD
AFBG	American Fiber Green Products Inc
AFBOF	African Rainbow Mnrls Ltd
AFFS	Amtrust Financial Services Inc 7.25% Subordinat
AFFT	Amtrust Financial Services Inc 7.50% Subordinat
AFFU	Affluence Corp
AFFY	Affymax
AFGYF	Afc Energy Plc
AFHBL	Atlas Financial Holdings Inc 6.625% Senior Uns
AFHIF	Atlas Financial Hlds
AFLYY	Air France Ads
AFMJF	Alphamin Resources
AFML	Aerofoam Metals Inc
AFNL	Amtrust Financial CO
AFOM	All For One Media Corp
AFPW	Alumifuel Pwr Corp
AFRAF	Air France Klm
AFRMF	Alphaform Ag
AFSIA	Amtrust Financial Services Inc Pfd. A
AFSIB	Amtrust Financial Services Dep Pfd
AFSIC	Amtrust Financial Services Inc Pfd. C
AFSIM	Amtrust Financial Services Inc Prf
AFSIN	Amtrust Financial Services Inc Pfd F
AFSIP	Amtrust Financial Services Dep Pfd
AFTC	Alternative Fuel Tec
AFTM	Aftermaster Inc
AFTPF	Afterpay Touch Group Ltd
AFTPY	Afterpay Ltd
AFYG	Affinity Gold Corp
AGCBF	Amarillo Gold Corpor
AGCCF	Gensource Potash
AGCZ	Andes Gold Corp
AGDXF	Antioqua Gold Inc
AGDY	Agri-Dynamics Inc
AGEEF	Halo Labs Inc
AGESF	Ageas NV
AGESY	Ageas N.V. Ads
AGFAF	Agraflora Organics Intl Inc
AGFMF	AGF Management Ltd
AGGFF	African Gold Gr
AGGG	Antilia Group Corp
AGGHF	Agrios Global Holdings Ltd
AGGI	Allied Energy Inc
AGGL	Agtech Global International Inc
AGGX	Angiogenex Inc
AGGZF	Ag Growth Inc Fd
AGHC	Aeon Global Health Corp
AGHI	Agora Holdings Inc
AGIN	American Graphite Technologies Inc
AGLAF	Aguila American Gold
AGLDF	Austral Gold Ltd
AGLNF	Agl Energy
AGLT	Angel Telecom Corp
AGLXY	Agl Energy Ltd ADR
AGLY	Agiliti Inc
AGMFP	Federal Agricultural Mortgage Corp
AGMJF	Algoma Cent Corp [F]
AGNPF	Algernon Pharmaceuticals Inc.
AGOAF	Abengoa S.A.
AGPIF	Anglo Pacific Res Plc Ord
AGPPF	Anglo Plati Ord Shs
AGPYY	Agile Group Holdings Limited
AGRDF	Auriga Gold Crp Ord
AGRIP	Agribank Fcb Non Cum Pfd Fxd/Fltg Ser A
AGRPY	Absa Group Ltd New A
AGRS	Agristar Inc
AGSO	Agrisolar Solutions
AGSVF	Argentum Silver Corp
AGTEF	Agtech Holdings Ltd
AGTK	Agritek Holdings Inc
AGTT	Angstrom Technologies Inc
AGTX	Agentix Corp
AGUNF	Arctic Glacier TR UT
AGXKF	Anglo Asian Mng Plc Ord
AGYP	Allied Energy Corp
AGYTF	Allergy Therapeutics Plc
AGZNF	Aegean Airlines
AHAD	Alphacom Holdings Inc
AHAG	Alpha Techs Grp Inc
AHCHF	Anhui Conch Cement C
AHCHY	Anhui Conch Cem ADR
AHCOW	Adapthealth Corp. WT
AHCPD	Changsheng Intl Group Ltd.
AHELF	American Helium Inc
AHEXF	Adecco Sa Cheserex
AHEXY	Adecco Sa ADR
AHFCF	Flow Capital
AHFD	Active Health Foods
AHFI	Absolute Health & Fitness
AHGIF	Alternate Health Corp
AHIX	Aluf Holdings Inc
AHKSF	Asahi Kaisai Corp
AHKSY	Asahi Kaisai Cp ADR
AHNMF	Archon Minerals Ltd
AHNR	Athena Silver Corp
AHODF	Koninklijke Ahold NV
AHOTF	American Hotel
AHROQ	Atheronova Inc
AIABF	Airasia Group Berhad
AIAGY	Aurubis Ag
AIBGY	Aib Group Plc ADR
AIBRF	Aib Group Plc
AICAF	Air China Ltd
AIDA	Aida Pharmaceuticals
AIERF	Asian Mineral Resources
AIFIF	Asia Financial Holdings Ltd
AIFLY	Aiful Corp [Japan] ADR
AIFM	Aifarm Ltd
AIFS	Agent Info Software
AIKO	Alternative Investment Corp
AILIH	Ameren Illinois CO Pfd 4.08%
AILLL	Central Illinois Public Service Company
AILLM	Ameren Illinois CO Pfd 4.92%
AILLP	Ameren Ill CO
AILNP	Ameren Illinois Co7.75Pfd
AILQF	Airlq Inc
AIMH	Aimrite Holdings Cor
AINSF	Ainsworth Game Tech
AIPUY	Airports of Thailand Public CO Ltd ADR
AIQUF	L'Air Liquide Ord EU
AIQUY	L'Air Liquide ADR
AIRO	Airspan Networks Inc
AIRRF	Aurion Res Ltd
AIRYY	Air China Ltd ADR
AISSF	Aisoftware Spa
AITA	Wunong Asia Pacific CO Ltd
AITX	Artificial Intelligence Tech Solutions Inc
AIVAF	Aviva Plc
AIVN	American International Ventures Inc
AIXN	Aixin Life International Inc
AIXXF	Aixtron Se
AJINY	Ajinomoto CO Inc ADR
AJMPF	Ashmore Group Plc
AJOY	Ayujoy Herbals Ltd.
AJXGF	Agjunction Inc
AKAAF	Aker ASA A Shs
AKABY	Alk-Abello A/S ADR
AKAOQ	Achaogen Inc
AKBIF	Akebono Brake Industries
AKBTY	Akbank Turk Ano ADR
AKKVF	Akastor ASA
AKMNF	Akumin Inc
AKOM	Aerkomm Inc
AKRFF	Ackroo Inc
AKRRF	Aker Philadelphia Sh
AKRTF	Aker Solutions Holding ASA
AKRXQ	Akorn Inc
AKSJF	Sberbank Russia
AKSY	Aksys Ltd
AKTAF	Akita Drilling Ltd
AKZOF	Akzo Nobel NV
AKZOY	Akzo Nobel NV ADR #
ALACF	Alacer Gold Corp
ALAN	Alanco Technologies Inc
ALARF	Alaris Royalty
ALBBY	Alibaba Health Information Technology Ltd
ALBHF	Alibaba Health Information Technology Ltd
ALBKF	Alpha Bank Grd2000
ALBKY	The Alpha Bank A.E
ALBY	Community Cap Bcshs
ALCCF	Alicanto Minerals Ltd
ALDA	Atlantica Inc
ALDS	Applife Digital Solutions Inc
ALDVF	Kiplin Metals Inc.
ALEAF	Aleafia Health Inc
ALEDY	Allied Group Limited
ALFFF	Alfa S.A.B. DE C.V.
ALFVF	Alfa-Laval Ab
ALFVY	Alfa-Laval Ab ADR
ALGGF	Alliance Global Group Inc
ALGGY	Alliance Global
ALGWF	Alliance Growers Corp
ALGXY	Affinity Energy & Health Ltd
ALIAF	Alacer Gold Corp
ALID	Allied Corp
ALIF	Artificial Life Inc
ALIZF	Allianz Ag
ALIZY	Allianz
ALKEF	Alkane Exploration N
ALKHF	Alaska Hydro Corp Ord
ALKM	Alkame Holdings Inc
ALKN	Alkane Inc
ALLIF	Alpha Lithium Corp
ALLM	Alliance Bioenergy Plus Inc
ALLVF	Altice N.V.
ALLWF	Allied Minds Plc
ALLXF	Caldas Gold Corp.
ALMC	Alimco Financial Corp
ALME	Alamo Energy Corp
ALMFF	Altium FX Ltd
ALMMF	Aluminum Corp of China Ltd
ALMTF	Almonty Industries
ALNPY	All Nippon Airways C
ALOD	Allied Resources Inc
ALORY	Alior Bank Sa
ALPE	Alpha-En Corp
ALPIB	Alpine Banks Colorado
ALPKF	Alpek Sab DE Cv
ALPMF	Astellas Pharma Inc
ALPMY	Astellas Pharma Inc
ALPP	Alpine 4 Technologies Ltd
ALPVN	Alabama Pwr 4.60 Pd
ALRGF	Antler Gold Inc
ALRT	Alr Technologies Inc
ALSE	Alseres Pharmaceuticals Inc
ALSI	Atlas Resources Intl Inc
ALSMY	Alstom S.A.
ALSSF	Alsea S.A.
ALST	Allstar Health Brands Inc
ALSWF	Absolute Software Cp
ALTAF	Altura Mining
ALTCY	Altice NV ADR
ALTD	Altitude International Inc
ALTGF	Altagas Ltd Fxdfr Prf Perpetual USD 25 Ser C
ALTMW	Altus Midstream Company WT
ALTN	Alternus Energy Inc
ALTPF	Altiplano Metals Inc
ALTUF	Altus Strategies Plc
ALTX	Altex Industries Inc
ALVOF	Alvopetro Energy
ALVRQ	Alvarion Ltd
ALXEF	Alx Uranium Corp
ALXXF	Avante Logixx Inc
ALYE	Aly Energy Services Inc [De]
ALYI	Alternet Systems Inc
AMADF	Amadeus IT Holding S
AMADY	Amadeus IT Hlds S.A.
AMANF	Amano Corp
AMAR	Amarillo Biosciences
AMAZ	Amazing Energy Oil & Gas CO
AMBBY	Ambu A/S ADR
AMBD	American Mobile Dental Corp
AMBK	American Bank Inc
AMBS	Amarantus Bioscience Holdings Inc
AMBZ	American Business Bank
AMCCF	Amcor Plc Cdi
AMCF	Andatee China Marine Fuel Services
AMCT	American Education Center Inc
AMCY	Acs Global Inc
AMDDW	Sintx Technologies Inc WT Exp 05/11/2023
AMDLY	Amada Holdings CO Ltd ADR
AMDWF	Amada CO Ltd
AMEFF	Appreciated Media Holdings Inc.
AMEN	Amen Properties Inc
AMEUF	Admedus Ltd.
AMFC	A M B Financial Cp
AMFL	Nanoscience Tech Inc
AMFPF	Amplifon S.P.A.
AMGDF	Aston Martin Lagonda Global Holdings Plc
AMGY	American Metal & Tec
AMHD	Amelot Holdings Inc
AMHG	Amergent Hospitality Group Inc
AMHPF	Amazon Mining Hld
AMHV	American Hemp Ventures Inc
AMIGF	Admiral Group Plc
AMIGY	Admiral Group Plc
AMIH	American Intl Hlds Corp
AMIN	American Intl Ind
AMKAF	A.P. Moeller Maers A
AMKBF	A.P. Moeller Maers B
AMKBY	A.P. Moeller-Maersk A/S
AMKYF	ABC Mart Inc
AMLH	American Leisure Hld
AMLM	American Lithium Min
AMLYY	Amp Ltd ADR
AMLZF	African Minerals Ltd
AMMCF	Amur Minerals Corp Ord
AMMJ	American Cannabis Company Inc
AMMX	Ameramex Intl Inc
AMNC	Amincor Inc A
AMNCB	Amincor Inc B
AMNE	American Green Group Inc
AMNF	Armanino Foods
